combined_username,rating,review_description,source
Anvesh Japa,1,"This is such a fake app. Look at the attendees, when I booked tickets there is no show happening at the venue. Such a disaster and worst app to use",Google Play
Bindi Shah,5,"I love the UI / UX of the app - simple to navigate, simple to book and so easy to use. The design is colorful and the ratio proportion is just correct. Recommend this app for anyone looking for a party scene in Mumbai. Sort your free / cover charge entry online.",Google Play
Dhruv,1,"App is great for nightlife but too many glitches . Please update this app, it crashes every 2-3 mins",Google Play
Lav Khanna,2,Much needed app to sort my scene for the night. 3 stars deducted because of fake girl attendees. Unethical,Google Play
Ahaan Narain,5,"Simple to navigate,really convienent in planning a night out.",Google Play
Khushi Agrawal,5,Simple to navigate and convenient for planning.,Google Play
Chaitanya Karandikar,5,User friendly and good offers. This helps in sorting my weekend scenes.,Google Play
Meher Aibara,5,User-friendly interface and easy navigate. Awesome app,Google Play
shrujay shah,5,Best app on playstore to plan your evenings and weekends..Strongly recommend everyone to give a try..!,Google Play
Aarushi Nagar,5,"It's really helpful app to find concerts, clubs or any college fest and big events",Google Play
Diksha Uday,5,Easy to find events of my liking and was very easy to use the app,Google Play
Lakshya Khatri,5,"Awesome app, does the job, simple easy UI.",Google Play
kai,5,"Great UI, and an amazing event finder.",Google Play
Niyoti Dhond,5,Easy to navigate and locate a place,Google Play
Saachi B,5,Extremely smooth and easy to use,Google Play
Ansh Sugandhi,5,"Great user experience, helpful in exploring nightlife",Google Play
Asees Singh,5,Wonderful events available in this app and it easy to use,Google Play
Chetan Bahikar,5,It's really nice app,Google Play
Ananya Chincholikar,5,Perfect to plan a fun chill evening out without the pain of not knowing what to do!!,Google Play
SHREYASH AGGARWAL,5,It's an exceptional app for those who enjoy going to clubs.,Google Play
Khushi Mishra,5,Love the website interface!,Google Play
shivani patil,5,Love the website interface!,Google Play
Shriya Jadhav,5,User friendly and helpful,Google Play
Arya Thakkar,5,Sorted my scenes for real great app!!,Google Play
Irfan khan,1,App is not open after update plz help,Google Play
Gautam Mehta,5,My favourite app to explore the night life!,Google Play
